"date.time","Site","Region","Farm","site_ID","Plot","Moisture"
2017-05-17 14:00:00,"B5","Border",5,"Border5","D1",75.4
2017-05-17 15:00:00,"B5","Border",5,"Border5","D1",75.3
2017-05-17 16:00:00,"B5","Border",5,"Border5","D1",74.7
2017-05-17 17:00:00,"B5","Border",5,"Border5","D1",74.6
2017-05-17 18:00:00,"B5","Border",5,"Border5","D1",73.9
2017-05-17 19:00:00,"B5","Border",5,"Border5","D1",73.8
2017-05-17 20:00:00,"B5","Border",5,"Border5","D1",73.8
2017-05-17 21:00:00,"B5","Border",5,"Border5","D1",73.9
2017-05-17 22:00:00,"B5","Border",5,"Border5","D1",73.9
2017-05-17 23:00:00,"B5","Border",5,"Border5","D1",74
2017-05-18 00:00:00,"B5","Border",5,"Border5","D1",74
2017-05-18 01:00:00,"B5","Border",5,"Border5","D1",74.1
2017-05-18 02:00:00,"B5","Border",5,"Border5","D1",74.1
2017-05-18 03:00:00,"B5","Border",5,"Border5","D1",74.2
2017-05-18 04:00:00,"B5","Border",5,"Border5","D1",74.3
2017-05-18 05:00:00,"B5","Border",5,"Border5","D1",74.3
2017-05-18 06:00:00,"B5","Border",5,"Border5","D1",74.4
2017-05-18 07:00:00,"B5","Border",5,"Border5","D1",74.3
2017-05-18 08:00:00,"B5","Border",5,"Border5","D1",74.2
2017-05-18 09:00:00,"B5","Border",5,"Border5","D1",74
2017-05-18 10:00:00,"B5","Border",5,"Border5","D1",73.8
2017-05-18 11:00:00,"B5","Border",5,"Border5","D1",73.5
2017-05-18 12:00:00,"B5","Border",5,"Border5","D1",73.1
2017-05-18 13:00:00,"B5","Border",5,"Border5","D1",72.3
2017-05-18 14:00:00,"B5","Border",5,"Border5","D1",72
2017-05-18 15:00:00,"B5","Border",5,"Border5","D1",71.7
2017-05-18 16:00:00,"B5","Border",5,"Border5","D1",71.3
2017-05-18 17:00:00,"B5","Border",5,"Border5","D1",71.4
2017-05-18 18:00:00,"B5","Border",5,"Border5","D1",71.4
2017-05-18 19:00:00,"B5","Border",5,"Border5","D1",71.3
2017-05-18 20:00:00,"B5","Border",5,"Border5","D1",71.3
2017-05-18 21:00:00,"B5","Border",5,"Border5","D1",71.3
2017-05-18 22:00:00,"B5","Border",5,"Border5","D1",71.4
2017-05-18 23:00:00,"B5","Border",5,"Border5","D1",71.4
2017-05-19 00:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 01:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 02:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 03:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 04:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 05:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 06:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 07:00:00,"B5","Border",5,"Border5","D1",71.5
2017-05-19 08:00:00,"B5","Border",5,"Border5","D1",71.4
2017-05-19 09:00:00,"B5","Border",5,"Border5","D1",71.3
2017-05-19 10:00:00,"B5","Border",5,"Border5","D1",71.1
2017-05-19 11:00:00,"B5","Border",5,"Border5","D1",70.7
2017-05-19 12:00:00,"B5","Border",5,"Border5","D1",70.5
2017-05-19 13:00:00,"B5","Border",5,"Border5","D1",70.1
2017-05-19 14:00:00,"B5","Border",5,"Border5","D1",69.7
2017-05-19 15:00:00,"B5","Border",5,"Border5","D1",69.2
2017-05-19 16:00:00,"B5","Border",5,"Border5","D1",69
2017-05-19 17:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 18:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 19:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 20:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 21:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 22:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-19 23:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-20 00:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-20 01:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-20 02:00:00,"B5","Border",5,"Border5","D1",68.9
2017-05-20 03:00:00,"B5","Border",5,"Border5","D1",68.8
2017-05-20 04:00:00,"B5","Border",5,"Border5","D1",68.8
2017-05-20 05:00:00,"B5","Border",5,"Border5","D1",68.8
2017-05-20 06:00:00,"B5","Border",5,"Border5","D1",68.8
2017-05-20 07:00:00,"B5","Border",5,"Border5","D1",68.7
2017-05-20 08:00:00,"B5","Border",5,"Border5","D1",68.7
2017-05-20 09:00:00,"B5","Border",5,"Border5","D1",68.6
2017-05-20 10:00:00,"B5","Border",5,"Border5","D1",68.4
2017-05-20 11:00:00,"B5","Border",5,"Border5","D1",68.1
2017-05-20 12:00:00,"B5","Border",5,"Border5","D1",67.8
2017-05-20 13:00:00,"B5","Border",5,"Border5","D1",67.4
2017-05-20 14:00:00,"B5","Border",5,"Border5","D1",66.8
2017-05-20 15:00:00,"B5","Border",5,"Border5","D1",66.6
2017-05-20 16:00:00,"B5","Border",5,"Border5","D1",66.2
2017-05-20 17:00:00,"B5","Border",5,"Border5","D1",66
2017-05-20 18:00:00,"B5","Border",5,"Border5","D1",65.8
2017-05-20 19:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-20 20:00:00,"B5","Border",5,"Border5","D1",65.8
2017-05-20 21:00:00,"B5","Border",5,"Border5","D1",65.8
2017-05-20 22:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-20 23:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 00:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 01:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 02:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 03:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 04:00:00,"B5","Border",5,"Border5","D1",65.9
2017-05-21 05:00:00,"B5","Border",5,"Border5","D1",65.8
2017-05-21 06:00:00,"B5","Border",5,"Border5","D1",65.8
2017-05-21 07:00:00,"B5","Border",5,"Border5","D1",65.7
2017-05-21 08:00:00,"B5","Border",5,"Border5","D1",65.7
2017-05-21 09:00:00,"B5","Border",5,"Border5","D1",65.6
2017-05-21 10:00:00,"B5","Border",5,"Border5","D1",65.5
2017-05-21 11:00:00,"B5","Border",5,"Border5","D1",65.3
2017-05-21 12:00:00,"B5","Border",5,"Border5","D1",65
2017-05-21 13:00:00,"B5","Border",5,"Border5","D1",64.7
2017-05-21 14:00:00,"B5","Border",5,"Border5","D1",64.4
2017-05-21 15:00:00,"B5","Border",5,"Border5","D1",64
2017-05-21 16:00:00,"B5","Border",5,"Border5","D1",63.9
2017-05-21 17:00:00,"B5","Border",5,"Border5","D1",63.8
2017-05-21 18:00:00,"B5","Border",5,"Border5","D1",63.7
2017-05-21 19:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-21 20:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-21 21:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-21 22:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-21 23:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-22 00:00:00,"B5","Border",5,"Border5","D1",63.6
2017-05-22 01:00:00,"B5","Border",5,"Border5","D1",63.5
2017-05-22 02:00:00,"B5","Border",5,"Border5","D1",63.5
2017-05-22 03:00:00,"B5","Border",5,"Border5","D1",63.5
2017-05-22 04:00:00,"B5","Border",5,"Border5","D1",63.4
2017-05-22 05:00:00,"B5","Border",5,"Border5","D1",63.4
2017-05-22 06:00:00,"B5","Border",5,"Border5","D1",63.4
2017-05-22 07:00:00,"B5","Border",5,"Border5","D1",63.3
2017-05-22 08:00:00,"B5","Border",5,"Border5","D1",63.2
2017-05-22 09:00:00,"B5","Border",5,"Border5","D1",63.1
2017-05-22 10:00:00,"B5","Border",5,"Border5","D1",63
2017-05-22 11:00:00,"B5","Border",5,"Border5","D1",62.7
2017-05-22 12:00:00,"B5","Border",5,"Border5","D1",62.5
2017-05-22 13:00:00,"B5","Border",5,"Border5","D1",62.3
2017-05-22 14:00:00,"B5","Border",5,"Border5","D1",61.8
2017-05-22 15:00:00,"B5","Border",5,"Border5","D1",61.7
2017-05-22 16:00:00,"B5","Border",5,"Border5","D1",61.4
2017-05-22 17:00:00,"B5","Border",5,"Border5","D1",61.2
2017-05-22 18:00:00,"B5","Border",5,"Border5","D1",61
2017-05-22 19:00:00,"B5","Border",5,"Border5","D1",60.9
2017-05-22 20:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-22 21:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-22 22:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-22 23:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 00:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 01:00:00,"B5","Border",5,"Border5","D1",60.9
2017-05-23 02:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 03:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 04:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 05:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 06:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 07:00:00,"B5","Border",5,"Border5","D1",60.8
2017-05-23 08:00:00,"B5","Border",5,"Border5","D1",60.7
2017-05-23 09:00:00,"B5","Border",5,"Border5","D1",60.6
2017-05-23 10:00:00,"B5","Border",5,"Border5","D1",60.4
2017-05-23 11:00:00,"B5","Border",5,"Border5","D1",59.9
2017-05-23 12:00:00,"B5","Border",5,"Border5","D1",59.5
2017-05-23 13:00:00,"B5","Border",5,"Border5","D1",59.1
2017-05-23 14:00:00,"B5","Border",5,"Border5","D1",58.7
2017-05-23 15:00:00,"B5","Border",5,"Border5","D1",58.6
2017-05-23 16:00:00,"B5","Border",5,"Border5","D1",58.3
2017-05-23 17:00:00,"B5","Border",5,"Border5","D1",58.2
2017-05-23 18:00:00,"B5","Border",5,"Border5","D1",57.9
2017-05-23 19:00:00,"B5","Border",5,"Border5","D1",57.7
2017-05-23 20:00:00,"B5","Border",5,"Border5","D1",57.6
2017-05-23 21:00:00,"B5","Border",5,"Border5","D1",57.6
2017-05-23 22:00:00,"B5","Border",5,"Border5","D1",57.6
2017-05-23 23:00:00,"B5","Border",5,"Border5","D1",57.6
2017-05-24 00:00:00,"B5","Border",5,"Border5","D1",57.6
2017-05-24 01:00:00,"B5","Border",5,"Border5","D1",57.5
2017-05-24 02:00:00,"B5","Border",5,"Border5","D1",57.5
2017-05-24 03:00:00,"B5","Border",5,"Border5","D1",57.5
2017-05-24 04:00:00,"B5","Border",5,"Border5","D1",57.5
2017-05-24 05:00:00,"B5","Border",5,"Border5","D1",57.4
2017-05-24 06:00:00,"B5","Border",5,"Border5","D1",57.4
2017-05-24 07:00:00,"B5","Border",5,"Border5","D1",57.4
2017-05-24 08:00:00,"B5","Border",5,"Border5","D1",57.3
2017-05-24 09:00:00,"B5","Border",5,"Border5","D1",57.3
2017-05-24 10:00:00,"B5","Border",5,"Border5","D1",57.2
2017-05-24 11:00:00,"B5","Border",5,"Border5","D1",57
2017-05-24 12:00:00,"B5","Border",5,"Border5","D1",56.7
2017-05-24 13:00:00,"B5","Border",5,"Border5","D1",56.4
2017-05-24 14:00:00,"B5","Border",5,"Border5","D1",56.1
2017-05-24 15:00:00,"B5","Border",5,"Border5","D1",55.9
2017-05-24 16:00:00,"B5","Border",5,"Border5","D1",55.7
2017-05-24 17:00:00,"B5","Border",5,"Border5","D1",55.4
2017-05-24 18:00:00,"B5","Border",5,"Border5","D1",55.1
2017-05-24 19:00:00,"B5","Border",5,"Border5","D1",55
2017-05-24 20:00:00,"B5","Border",5,"Border5","D1",54.9
2017-05-24 21:00:00,"B5","Border",5,"Border5","D1",54.9
