"date.time","Site","Region","Farm","site_ID","Plot","Moisture","treatment","Day"
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","D3",40.6,"D",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","D3",43.4,"D",64
2017-07-18 12:00:00,"D1","Dublin",1,"Dublin1","C3",28.4,"C",0
2017-07-26 12:00:00,"D1","Dublin",1,"Dublin1","C3",46,"C",8
2017-08-03 12:00:00,"D1","Dublin",1,"Dublin1","C3",47,"C",16
2017-08-19 12:00:00,"D1","Dublin",1,"Dublin1","C3",44.4,"C",32
2017-09-20 12:00:00,"D1","Dublin",1,"Dublin1","C3",49.6,"C",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","D1",18.9,"D",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","D1",24.9,"D",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","D1",24.5,"D",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","D1",35.8,"D",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","D1",49,"D",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","C1",28.7,"C",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","C1",41.4,"C",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","C1",34,"C",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","C1",39.1,"C",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","C1",49.4,"C",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","D2",14.4,"D",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","D2",16.8,"D",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","D2",16.7,"D",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","D2",21.6,"D",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","D2",NA,"D",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","C2",28.4,"C",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","C2",39.1,"C",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","C2",32.5,"C",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","C2",41.1,"C",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","C2",50.4,"C",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","C3",26.6,"C",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","C3",32,"C",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","C3",25.7,"C",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","C3",30.3,"C",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","C3",46.8,"C",64
2017-07-23 12:00:00,"D2","Dublin",2,"Dublin2","D3",17.9,"D",0
2017-07-31 12:00:00,"D2","Dublin",2,"Dublin2","D3",20.9,"D",8
2017-08-08 12:00:00,"D2","Dublin",2,"Dublin2","D3",18.8,"D",16
2017-08-24 12:00:00,"D2","Dublin",2,"Dublin2","D3",23.6,"D",32
2017-09-25 12:00:00,"D2","Dublin",2,"Dublin2","D3",46.2,"D",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","D1",15.5,"D",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","D1",17.3,"D",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","D1",18.6,"D",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","D1",27,"D",32
2017-09-25 12:00:00,"D3","Dublin",3,"Dublin3","D1",48.1,"D",64
2017-07-23 12:00:00,"D3","Dublin",3,"Dublin3","C1",55.2,"C",0
2017-07-31 12:00:00,"D3","Dublin",3,"Dublin3","C1",56.3,"C",8
2017-08-08 12:00:00,"D3","Dublin",3,"Dublin3","C1",53.1,"C",16
2017-08-24 12:00:00,"D3","Dublin",3,"Dublin3","C1",61.2,"C",32
